,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,harvest_area (ha),tonnes,Yield(hg/ha),"Ammonia, anhydrous",Ammonium nitrate (AN),Ammonium sulphate,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Diammonium phosphate (DAP),Fertilizers n.e.c.,Monoammonium phosphate (MAP),NPK fertilizers,Other NP compounds,"Other nitrogenous fertilizers, n.e.c.","Other phosphatic fertilizers, n.e.c.","Other potassic fertilizers, n.e.c.",PK compounds,Phosphate rock,Potassium chloride (muriate of potash) (MOP),Potassium nitrate,Potassium sulphate (sulphate of potash) (SOP),Sodium nitrate,Superphosphates above 35%,"Superphosphates, other",Urea,Urea and ammonium nitrate solutions (UAN)
30,2002,1787833,327387,479673,Sugar beet,459400,26794334.0,583246,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
31,2002,1787833,327387,479673,Sunflower seed,26101,51849.0,19865,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
32,2002,1787833,327387,479673,Tomatoes,282,45272.0,1605390,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
33,2002,1787833,327387,479673,Triticale,560466,3068295.0,54745,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
34,2002,1787833,327387,479673,Unmanufactured tobacco,4727,11300.0,23905,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
35,2002,1787833,327387,479673,Wheat,3014620,20817740.0,69056,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
36,2003,1827767,284138,486464,Apples,31164,818032.0,262493,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
37,2003,1827767,284138,486464,Apricots,53,185.0,34906,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
38,2003,1827767,284138,486464,Asparagus,15106,65337.0,43252,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
39,2003,1827767,284138,486464,Barley,2074622,10595573.0,51072,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
40,2003,1827767,284138,486464,"Broad beans and horse beans, dry",20042,60848.0,30360,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
41,2003,1827767,284138,486464,"Broad beans and horse beans, green",154,2254.0,146364,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
42,2003,1827767,284138,486464,Cabbages,16018,784537.0,489785,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
43,2003,1827767,284138,486464,Carrots and turnips,9255,426038.0,460333,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
44,2003,1827767,284138,486464,Cauliflowers and broccoli,7660,168135.0,219497,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
45,2003,1827767,284138,486464,Cherries,5366,33386.0,62218,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
46,2003,1827767,284138,486464,Cucumbers and gherkins,3569,232239.0,650712,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
47,2003,1827767,284138,486464,Grapes,98270,1130000.0,114989,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
48,2003,1827767,284138,486464,Hop cones,17605,25355.0,14402,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
49,2003,1827767,284138,486464,Leeks and other alliaceous vegetables,2852,65061.0,228124,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
50,2003,1827767,284138,486464,Lettuce and chicory,10999,202128.0,183769,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
51,2003,1827767,284138,486464,Linseed,16200,28800.0,17778,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
52,2003,1827767,284138,486464,Lupins,45627,60000.0,13150,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
53,2003,1827767,284138,486464,Maize (corn),463355,3421642.0,73845,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
