,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,harvest_area (ha),crop_production(tonnes),Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Bipiridils,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Sulfonyl ureas,Herbicides – Triazines,Herbicides – Uracil,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Chlorinated Hydrocarbons,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Anti-coagulants,Rodenticides – Other,Seed Treat Fung – Benzimidazoles,Seed Treat Fung – Botanical products and biologicals,Seed Treat Fung – Dithiocarbamates,Seed Treat Fung – Other,"Seed Treat Fung – Triazoles, diazoles",Seed Treat Insect – Carbamates,Seed Treat Insect – Organo-phosphates,Seed Treat Insect – Other,Seed Treat Insect – Pyrethroids
24,1990,1787300,609000,954400,Spinach,2930,38225.0,13.0461,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
25,1990,1787300,609000,954400,Strawberries,8305,73973.0,8.907,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
26,1990,1787300,609000,954400,Sugar beet,611500,30366304.0,49.6587,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
27,1990,1787300,609000,954400,Tomatoes,1458,51360.0,35.2263,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
28,1990,1787300,609000,954400,Triticale,77154,388854.0,5.04,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
29,1990,1787300,609000,954400,Unmanufactured tobacco,5502,10441.0,1.8977,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
30,1990,1787300,609000,954400,"Walnuts, in shell",5120,12200.0,2.3828,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
31,1990,1787300,609000,954400,Wheat,2429610,15241870.0,6.2734,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,,924.0,1072.0,4036.0,4357.0,,1085.0,,3825.0,1.0,316.0,121.0,891.0,396.0,113.0,642.0,1910.0,5.0,8.0,,,,,,,,,
32,1991,1720000,519000,729658,Apples,39200,780800.0,19.9184,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
33,1991,1720000,519000,729658,Apricots,100,900.0,9.0,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
