Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants,yield_t-1,yield_t-2,yield_t-3
1999,2014010,420000,599150,Sugar beet,56.3591,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,5.7857,3.5763,37.4989
1999,2014010,420000,599150,Wheat,7.5411,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,56.3591,5.7857,3.5763
2000,1847507,351317,543952,Apples,25.0944,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,7.5411,56.3591,5.7857
2000,1847507,351317,543952,Barley,5.855,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,25.0944,7.5411,56.3591
2000,1847507,351317,543952,Cabbages,53.0667,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,5.855,25.0944,7.5411
2000,1847507,351317,543952,Grapes,13.4028,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,53.0667,5.855,25.0944
2000,1847507,351317,543952,Maize (corn),9.2119,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,13.4028,53.0667,5.855
2000,1847507,351317,543952,Potatoes,43.3437,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,9.2119,13.4028,53.0667
2000,1847507,351317,543952,Rape or colza seed,3.3262,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,43.3437,9.2119,13.4028
2000,1847507,351317,543952,Rye,4.9296,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,3.3262,43.3437,9.2119
2000,1847507,351317,543952,Sugar beet,61.6587,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,4.9296,3.3262,43.3437
2000,1847507,351317,543952,Wheat,7.2826,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,61.6587,4.9296,3.3262
2001,1792212,315339,505862,Apples,25.4143,205.07,913.95,1438.38,1958.85,2199.62,1306.07,1773.87,316.06,776.76,6522.8,1637.69,1437.61,2302.63,61.93,112.42,393.86,714.37,26.12,90.83,2943.45,81.58,106.56,68.21,0.2,7.2826,61.6587,4.9296
