,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants
37,1990,1787300,609000,954400,Rye,3.7789,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
38,1990,1787300,609000,954400,Sour cherries,6.4197,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
39,1990,1787300,609000,954400,Soya beans,1.9792,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
40,1990,1787300,609000,954400,Spinach,13.0461,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
41,1990,1787300,609000,954400,Strawberries,8.907,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
42,1990,1787300,609000,954400,Sugar beet,49.6587,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
43,1990,1787300,609000,954400,Sunflower seed,2.9309,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
44,1990,1787300,609000,954400,Tomatoes,35.2263,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
45,1990,1787300,609000,954400,Triticale,5.04,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
46,1990,1787300,609000,954400,Unmanufactured tobacco,1.8977,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
