Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2006","2006","tonnes","442578","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2007","2007","tonnes","511303","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2008","2008","tonnes","179171","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2009","2009","tonnes","362791","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2010","2010","tonnes","433743","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2011","2011","tonnes","386414","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2012","2012","tonnes","421042","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2013","2013","tonnes","457131","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2014","2014","tonnes","459855","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2015","2015","tonnes","397759","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2016","2016","tonnes","430080","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","391640","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2018","2018","tonnes","409547","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","419542","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","tonnes","446396","A","Official figure"
