,Year,Item,harvest_area (ha),Yield(hg/ha)
0,1991,Apples,39200,199184
1,1992,Apples,39200,351480
2,1993,Apples,39200,225102
3,1994,Apples,36400,241621
4,1995,Apples,36100,158809
5,1996,Apples,36400,241236
6,1997,Apples,35800,213575
7,1998,Apples,35800,272961
8,1999,Apples,35800,289413
9,2000,Apples,125000,250944
10,2001,Apples,70000,254143
11,2003,Apples,31164,262493
12,2004,Apples,32345,302900
13,2005,Apples,32339,275643
14,2006,Apples,32504,291537
15,2007,Apples,31721,337327
16,2008,Apples,31800,329244
17,2009,Apples,31813,336554
18,2010,Apples,31819,262409
19,2011,Apples,31608,284247
20,2012,Apples,31640,307334
21,2013,Apples,31647,253984
22,2014,Apples,31465,354648
23,2015,Apples,31408,309941
24,2016,Apples,31334,329646
25,2017,Apples,33913,175940
26,2018,Apples,33980,352713
27,2019,Apples,33980,291775
28,2020,Apples,33980,301154
29,2021,Apples,33980,295653
30,1991,Apricots,100,90000
31,1992,Apricots,100,50000
32,1993,Apricots,100,20000
33,1994,Apricots,100,10000
34,1995,Apricots,100,20000
35,1996,Apricots,100,30000
36,1997,Apricots,100,10000
37,1998,Apricots,100,20000
38,1999,Apricots,100,20000
39,2000,Apricots,100,30000
40,2001,Apricots,100,10000
41,2002,Apricots,100,20000
42,2003,Apricots,53,34906
43,2004,Apricots,53,92264
44,2005,Apricots,53,40755
45,2006,Apricots,53,56604
46,2007,Apricots,55,56364
47,1969,Asparagus,5956,27005
48,1970,Asparagus,6127,28510
49,1971,Asparagus,6769,31824
50,1972,Asparagus,5917,28636
51,1973,Asparagus,5955,30403
52,1974,Asparagus,5843,25499
53,1975,Asparagus,5497,26214
54,1976,Asparagus,5604,26344
55,1977,Asparagus,5835,25719
56,1978,Asparagus,6203,25870
57,1979,Asparagus,6218,23885
58,1980,Asparagus,6381,22023
59,1981,Asparagus,6340,24513
60,1982,Asparagus,6217,24150
61,1983,Asparagus,6230,23482
62,1984,Asparagus,6427,23341
63,1985,Asparagus,6584,26121
64,1986,Asparagus,6705,27682
65,1987,Asparagus,6614,22220
66,1988,Asparagus,7985,24695
67,1989,Asparagus,8271,25513
68,1990,Asparagus,7971,27611
69,1991,Asparagus,6253,24751
70,1992,Asparagus,7524,37735
71,1993,Asparagus,8063,36952
72,1994,Asparagus,8250,33038
73,1995,Asparagus,9137,34825
74,1996,Asparagus,10503,34953
75,1997,Asparagus,10901,37438
76,1998,Asparagus,11261,40416
77,1999,Asparagus,11429,39538
78,2000,Asparagus,11597,43800
79,2001,Asparagus,12904,40488
80,2002,Asparagus,14222,40217
81,2003,Asparagus,15106,43252
82,2004,Asparagus,16744,43309
83,2005,Asparagus,18117,45680
84,2006,Asparagus,18408,44537
85,2007,Asparagus,18610,50664
86,2008,Asparagus,18436,50257
87,2009,Asparagus,18190,53982
88,2010,Asparagus,18794,49167
89,2011,Asparagus,18611,55589
90,2012,Asparagus,19329,52975
91,2013,Asparagus,19634,52515
92,2014,Asparagus,20122,56699
93,2015,Asparagus,20594,55168
94,2016,Asparagus,22274,53881
95,2017,Asparagus,23190,56439
96,2018,Asparagus,23410,56822
97,2019,Asparagus,22980,56815
98,2020,Asparagus,22410,52459
99,2021,Asparagus,22280,53532
100,1961,Barley,1552018,23640
101,1962,Barley,1512480,32451
102,1963,Barley,1568356,30346
103,1964,Barley,1616508,33476
104,1965,Barley,1690106,29678
105,1966,Barley,1809287,29816
106,1967,Barley,1860835,35797
107,1968,Barley,1925629,36844
108,1969,Barley,2028309,35487
109,1970,Barley,2114790,31587
110,1971,Barley,2161129,37294
111,1972,Barley,2166948,39638
112,1973,Barley,2362978,40077
113,1974,Barley,2444346,42834
114,1975,Barley,2685089,39669
115,1976,Barley,2695209,36893
116,1977,Barley,2808277,40110
117,1978,Barley,2988958,42632
118,1979,Barley,2933104,39231
119,1980,Barley,2970671,43104
120,1981,Barley,3008345,40429
121,1982,Barley,3002448,45012
122,1983,Barley,2924272,43861
123,1984,Barley,2925856,49292
124,1985,Barley,2831186,49648
125,1986,Barley,2842759,48089
126,1987,Barley,2741115,46585
127,1988,Barley,2710209,49390
128,1989,Barley,2640401,54534
129,1990,Barley,2612519,53558
130,1991,Barley,2535384,57166
131,1992,Barley,2407963,50650
132,1993,Barley,2200764,50008
133,1994,Barley,2069538,52681
134,1995,Barley,2108700,56391
135,1996,Barley,2208408,54673
136,1997,Barley,2273950,58923
137,1998,Barley,2180849,57373
138,1999,Barley,2210353,60176
139,2000,Barley,2067590,58550
140,2001,Barley,2111822,63900
141,2002,Barley,1970335,55462
142,2003,Barley,2074622,51072
143,2004,Barley,1979472,65638
144,2005,Barley,1946800,59656
145,2006,Barley,2025300,59086
146,2007,Barley,1916871,54173
147,2008,Barley,1961682,61004
148,2009,Barley,1877894,65436
149,2010,Barley,1641322,62918
150,2011,Barley,1598100,54651
151,2012,Barley,1677800,61934
152,2013,Barley,1570400,65866
153,2014,Barley,1573700,73475
154,2015,Barley,1621800,71710
155,2016,Barley,1605000,66857
156,2017,Barley,1566100,69302
157,2018,Barley,1662000,57663
158,2019,Barley,1708800,67834
159,2020,Barley,1667300,64591
160,2021,Barley,1539500,67627
161,1961,"Beans, dry",6737,18841
162,1962,"Beans, dry",7790,20266
163,1963,"Beans, dry",8001,21170
164,1964,"Beans, dry",5682,18701
165,1965,"Beans, dry",3459,25025
166,1966,"Beans, dry",4458,18991
167,2006,Blueberries,1410,43177
168,2007,Blueberries,1406,41380
169,2008,Blueberries,1406,29275
170,2009,Blueberries,1426,69705
171,2010,Blueberries,1429,58118
172,2011,Blueberries,1434,46081
173,2012,Blueberries,1835,48191
174,2013,Blueberries,2031,50601
175,2014,Blueberries,2083,57979
176,2015,Blueberries,2479,48185
177,2016,Blueberries,2714,39462
178,2017,Blueberries,2844,48541
179,2018,Blueberries,3040,41974
180,2019,Blueberries,3160,46994
181,2020,Blueberries,3290,34347
182,2021,Blueberries,3360,46548
183,1961,"Broad beans and horse beans, dry",34951,23147
184,1962,"Broad beans and horse beans, dry",41479,25120
185,1963,"Broad beans and horse beans, dry",42439,23410
186,1990,"Broad beans and horse beans, dry",41000,32366
187,1991,"Broad beans and horse beans, dry",24281,35693
188,1992,"Broad beans and horse beans, dry",17991,31013
189,1993,"Broad beans and horse beans, dry",22322,37271
190,1994,"Broad beans and horse beans, dry",30388,29841
191,1995,"Broad beans and horse beans, dry",25498,33803
192,1996,"Broad beans and horse beans, dry",21125,37043
193,1997,"Broad beans and horse beans, dry",25860,35419
194,1998,"Broad beans and horse beans, dry",26454,35373
195,1999,"Broad beans and horse beans, dry",23222,41313
196,2000,"Broad beans and horse beans, dry",17677,34927
197,2001,"Broad beans and horse beans, dry",20624,39182
198,2002,"Broad beans and horse beans, dry",18518,34915
199,2003,"Broad beans and horse beans, dry",20042,30360
200,2004,"Broad beans and horse beans, dry",15511,41324
201,2005,"Broad beans and horse beans, dry",15700,37962
202,2006,"Broad beans and horse beans, dry",15000,32733
203,2007,"Broad beans and horse beans, dry",12216,35320
204,2008,"Broad beans and horse beans, dry",11128,34480
205,2009,"Broad beans and horse beans, dry",12022,39485
206,2010,"Broad beans and horse beans, dry",16293,30640
207,2011,"Broad beans and horse beans, dry",17300,35491
208,2012,"Broad beans and horse beans, dry",15800,38797
209,2013,"Broad beans and horse beans, dry",16500,36182
210,2014,"Broad beans and horse beans, dry",20500,42732
211,2015,"Broad beans and horse beans, dry",37600,35426
212,2016,"Broad beans and horse beans, dry",38800,39613
213,2017,"Broad beans and horse beans, dry",46400,40690
214,2018,"Broad beans and horse beans, dry",55300,29078
215,2019,"Broad beans and horse beans, dry",49200,32419
216,2020,"Broad beans and horse beans, dry",58700,40170
217,2021,"Broad beans and horse beans, dry",57600,40955
218,1961,"Broad beans and horse beans, green",1613,124613
219,1962,"Broad beans and horse beans, green",1879,116551
220,1963,"Broad beans and horse beans, green",2106,135802
221,1964,"Broad beans and horse beans, green",1491,111335
222,1965,"Broad beans and horse beans, green",1238,121971
223,1966,"Broad beans and horse beans, green",1177,128734
224,1967,"Broad beans and horse beans, green",1647,133594
225,1968,"Broad beans and horse beans, green",1762,139989
226,1969,"Broad beans and horse beans, green",1863,142780
227,1970,"Broad beans and horse beans, green",1601,143660
228,1971,"Broad beans and horse beans, green",1536,140573
229,1972,"Broad beans and horse beans, green",1278,147887
230,1973,"Broad beans and horse beans, green",1269,141316
231,1974,"Broad beans and horse beans, green",1316,123860
232,1975,"Broad beans and horse beans, green",1175,119796
233,1976,"Broad beans and horse beans, green",1340,80470
234,1977,"Broad beans and horse beans, green",1018,118202
235,1978,"Broad beans and horse beans, green",1233,118443
236,1979,"Broad beans and horse beans, green",1172,119906
237,1980,"Broad beans and horse beans, green",1016,104409
238,1981,"Broad beans and horse beans, green",870,111759
239,1982,"Broad beans and horse beans, green",752,133045
240,1983,"Broad beans and horse beans, green",741,140486
241,1984,"Broad beans and horse beans, green",872,140069
242,1985,"Broad beans and horse beans, green",1004,50966
243,1986,"Broad beans and horse beans, green",1011,53452
244,1987,"Broad beans and horse beans, green",641,50998
245,1988,"Broad beans and horse beans, green",739,51394
246,1989,"Broad beans and horse beans, green",693,49062
247,1990,"Broad beans and horse beans, green",713,58766
248,1991,"Broad beans and horse beans, green",992,66351
249,1992,"Broad beans and horse beans, green",957,92278
250,1993,"Broad beans and horse beans, green",632,57089
251,1994,"Broad beans and horse beans, green",568,54894
252,1995,"Broad beans and horse beans, green",682,60117
253,1996,"Broad beans and horse beans, green",705,63858
254,1997,"Broad beans and horse beans, green",780,66859
255,1998,"Broad beans and horse beans, green",760,59066
256,1999,"Broad beans and horse beans, green",633,65561
257,2000,"Broad beans and horse beans, green",157,162357
258,2001,"Broad beans and horse beans, green",165,170788
259,2002,"Broad beans and horse beans, green",165,166000
260,2003,"Broad beans and horse beans, green",154,146364
261,2006,"Broad beans and horse beans, green",403,71266
262,2007,"Broad beans and horse beans, green",470,76021
263,2008,"Broad beans and horse beans, green",548,74763
264,2009,"Broad beans and horse beans, green",533,74071
265,2010,"Broad beans and horse beans, green",412,88325
266,2011,"Broad beans and horse beans, green",538,79851
267,2012,"Broad beans and horse beans, green",491,74745
268,2013,"Broad beans and horse beans, green",518,62239
269,2014,"Broad beans and horse beans, green",427,73747
270,2015,"Broad beans and horse beans, green",452,59927
271,2016,"Broad beans and horse beans, green",449,77773
272,2017,"Broad beans and horse beans, green",583,60412
273,2018,"Broad beans and horse beans, green",599,51152
274,2019,"Broad beans and horse beans, green",530,47925
275,2020,"Broad beans and horse beans, green",630,51429
276,2021,"Broad beans and horse beans, green",370,63243
277,1961,Cabbages,30553,284699
278,1962,Cabbages,28226,276867
279,1963,Cabbages,28798,278747
280,1964,Cabbages,26506,278209
281,1965,Cabbages,24406,288772
282,1966,Cabbages,29767,325770
283,1967,Cabbages,27655,335112
284,1968,Cabbages,24492,317747
285,1969,Cabbages,25039,294672
286,1970,Cabbages,28173,332854
287,1972,Cabbages,28054,316018
288,1973,Cabbages,26874,360026
289,1974,Cabbages,25617,359815
290,1975,Cabbages,24040,320018
291,1976,Cabbages,24997,312835
292,1977,Cabbages,27643,358914
293,1978,Cabbages,26449,349739
294,1979,Cabbages,25923,347459
295,1980,Cabbages,24663,296605
296,1981,Cabbages,25731,365168
297,1982,Cabbages,25736,364636
298,1983,Cabbages,25011,305805
299,1984,Cabbages,27050,365473
300,1985,Cabbages,28341,379355
301,1986,Cabbages,26339,382103
302,1987,Cabbages,25104,347814
303,1988,Cabbages,26177,376446
304,1989,Cabbages,25281,372587
305,1990,Cabbages,17246,383244
306,1991,Cabbages,17636,435532
307,1992,Cabbages,18232,444062
308,1993,Cabbages,17661,479918
309,1994,Cabbages,16992,454196
310,1995,Cabbages,17254,479055
311,1996,Cabbages,18675,502047
312,1997,Cabbages,17093,492611
313,1998,Cabbages,16585,481636
314,1999,Cabbages,16739,538566
315,2000,Cabbages,16192,530667
316,2001,Cabbages,14939,524247
317,2002,Cabbages,15028,460025
318,2003,Cabbages,16018,489785
319,2004,Cabbages,16034,496052
320,2005,Cabbages,14432,499965
321,2006,Cabbages,14787,498720
322,2007,Cabbages,14797,525594
323,2008,Cabbages,15573,517613
324,2009,Cabbages,14867,565804
325,2010,Cabbages,14471,543891
326,2011,Cabbages,14826,558827
327,2012,Cabbages,14076,570416
328,2013,Cabbages,12998,541249
329,2014,Cabbages,13391,599573
330,2015,Cabbages,12962,531478
331,2016,Cabbages,13339,536479
332,2017,Cabbages,13991,564785
333,2018,Cabbages,12740,474356
334,2019,Cabbages,13100,551366
335,2020,Cabbages,13250,547419
336,2021,Cabbages,12770,574221
337,1961,Carrots and turnips,7931,253136
338,1962,Carrots and turnips,9507,266209
339,1963,Carrots and turnips,11911,277591
340,1964,Carrots and turnips,9590,282813
341,1965,Carrots and turnips,8987,293420
342,1966,Carrots and turnips,9425,328828
343,1967,Carrots and turnips,9908,329772
344,1968,Carrots and turnips,10276,306188
345,1969,Carrots and turnips,10176,291628
346,1970,Carrots and turnips,11874,322293
347,1971,Carrots and turnips,11005,296496
348,1972,Carrots and turnips,10535,345222
349,1973,Carrots and turnips,10859,289868
350,1974,Carrots and turnips,10192,296285
351,1975,Carrots and turnips,10805,258568
352,1976,Carrots and turnips,10884,202709
353,1977,Carrots and turnips,14831,351728
354,1978,Carrots and turnips,12839,332095
355,1979,Carrots and turnips,13810,308744
356,1980,Carrots and turnips,13021,315252
357,1981,Carrots and turnips,13289,321463
358,1982,Carrots and turnips,12813,273306
359,1983,Carrots and turnips,13051,281952
360,1984,Carrots and turnips,14349,385797
361,1985,Carrots and turnips,14747,360317
362,1986,Carrots and turnips,13566,372940
363,1987,Carrots and turnips,13289,388670
364,1988,Carrots and turnips,13937,289994
365,1989,Carrots and turnips,15510,305924
366,1990,Carrots and turnips,11725,302912
367,1991,Carrots and turnips,6730,334053
368,1992,Carrots and turnips,7058,328109
369,1993,Carrots and turnips,6880,426401
370,1994,Carrots and turnips,6523,375378
371,1995,Carrots and turnips,7544,394235
372,1996,Carrots and turnips,8045,422725
373,1997,Carrots and turnips,7770,402475
374,1998,Carrots and turnips,8378,443960
375,1999,Carrots and turnips,8484,447364
376,2000,Carrots and turnips,9375,460310
377,2001,Carrots and turnips,8879,500561
378,2002,Carrots and turnips,8961,463073
379,2003,Carrots and turnips,9255,460333
380,2004,Carrots and turnips,10504,527732
381,2005,Carrots and turnips,9858,523764
382,2006,Carrots and turnips,10043,502003
383,2007,Carrots and turnips,10217,550353
384,2008,Carrots and turnips,10226,534982
385,2009,Carrots and turnips,10471,544589
386,2010,Carrots and turnips,10367,534361
387,2011,Carrots and turnips,9683,551190
388,2012,Carrots and turnips,10150,584001
389,2013,Carrots and turnips,10189,572762
390,2014,Carrots and turnips,10111,602663
391,2015,Carrots and turnips,9649,546032
392,2016,Carrots and turnips,11209,572422
393,2017,Carrots and turnips,12545,585035
394,2018,Carrots and turnips,12960,482531
395,2019,Carrots and turnips,13730,576191
396,2020,Carrots and turnips,13790,581748
397,2021,Carrots and turnips,14920,644752
398,1961,Cauliflowers and broccoli,7206,178941
399,1962,Cauliflowers and broccoli,6767,188373
400,1963,Cauliflowers and broccoli,7363,189561
401,1964,Cauliflowers and broccoli,7214,199448
402,1965,Cauliflowers and broccoli,6935,196094
403,1966,Cauliflowers and broccoli,7164,214274
404,1967,Cauliflowers and broccoli,7306,223067
405,1968,Cauliflowers and broccoli,7044,224693
406,1969,Cauliflowers and broccoli,6877,222469
407,1970,Cauliflowers and broccoli,6653,227597
408,1971,Cauliflowers and broccoli,7409,222820
409,1972,Cauliflowers and broccoli,7639,221416
410,1973,Cauliflowers and broccoli,7904,231599
411,1974,Cauliflowers and broccoli,7734,236320
412,1975,Cauliflowers and broccoli,7989,227082
413,1976,Cauliflowers and broccoli,8543,224558
414,1977,Cauliflowers and broccoli,8480,238683
415,1978,Cauliflowers and broccoli,8852,235583
416,1979,Cauliflowers and broccoli,9119,236489
417,1980,Cauliflowers and broccoli,8792,232929
418,1981,Cauliflowers and broccoli,8868,245964
419,1982,Cauliflowers and broccoli,8816,241572
420,1983,Cauliflowers and broccoli,8798,233764
421,1984,Cauliflowers and broccoli,8799,260489
422,1985,Cauliflowers and broccoli,9088,252841
423,1986,Cauliflowers and broccoli,9201,242544
424,1987,Cauliflowers and broccoli,8863,252378
425,1988,Cauliflowers and broccoli,9562,252991
426,1989,Cauliflowers and broccoli,10245,250652
427,1990,Cauliflowers and broccoli,8189,211642
428,1991,Cauliflowers and broccoli,6891,240686
429,1992,Cauliflowers and broccoli,6337,237355
430,1993,Cauliflowers and broccoli,5874,257137
431,1994,Cauliflowers and broccoli,6195,252006
432,1995,Cauliflowers and broccoli,5959,261593
433,1996,Cauliflowers and broccoli,6011,270354
434,1997,Cauliflowers and broccoli,5865,266815
435,1998,Cauliflowers and broccoli,5878,267331
436,1999,Cauliflowers and broccoli,5820,269517
437,2000,Cauliflowers and broccoli,5259,263105
438,2001,Cauliflowers and broccoli,5030,260121
439,2002,Cauliflowers and broccoli,7243,220707
440,2003,Cauliflowers and broccoli,7660,219497
441,2004,Cauliflowers and broccoli,7740,235483
442,2005,Cauliflowers and broccoli,7176,246027
443,2006,Cauliflowers and broccoli,7241,219845
444,2007,Cauliflowers and broccoli,6517,231298
445,2008,Cauliflowers and broccoli,7033,221955
446,2009,Cauliflowers and broccoli,6817,246573
447,2010,Cauliflowers and broccoli,6548,232097
448,2011,Cauliflowers and broccoli,6479,222466
449,2012,Cauliflowers and broccoli,6614,267148
450,2013,Cauliflowers and broccoli,6412,240303
451,2014,Cauliflowers and broccoli,6139,242978
452,2015,Cauliflowers and broccoli,5733,235205
453,2016,Cauliflowers and broccoli,5463,224111
454,2017,Cauliflowers and broccoli,6100,217313
455,2018,Cauliflowers and broccoli,6100,206721
456,2019,Cauliflowers and broccoli,5810,220551
457,2020,Cauliflowers and broccoli,5800,211517
458,2021,Cauliflowers and broccoli,5710,221664
459,2003,Cherries,5366,62218
460,2004,Cherries,5504,70996
461,2005,Cherries,5528,50490
462,2006,Cherries,5561,56891
463,2007,Cherries,5443,63296
464,2008,Cherries,5449,46185
465,2009,Cherries,5440,72542
466,2010,Cherries,5389,57211
467,2011,Cherries,5338,69380
468,2012,Cherries,5181,44403
469,2013,Cherries,5207,46979
470,2014,Cherries,5192,76215
471,2015,Cherries,5182,60683
472,2016,Cherries,5126,57302
473,2017,Cherries,6040,27377
474,2018,Cherries,6030,73333
475,2019,Cherries,6050,73636
476,2020,Cherries,6020,61130
477,2021,Cherries,6020,45415
478,1996,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",34,205148
479,1997,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",36,208147
480,1998,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",31,211146
481,1999,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",30,214145
482,2000,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",31,217144
483,2001,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",31,230441
484,2002,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",31,262442
485,2003,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",30,308025
486,2004,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",34,354850
487,2006,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",37,486757
488,2007,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",35,590286
489,2008,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",41,464390
490,2009,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",43,478372
491,2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",39,553590
492,2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",43,540698
493,2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",64,817969
494,2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",64,1174219
495,2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",72,1168889
496,2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",74,1010653
497,2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",82,1143293
498,2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",94,1307340
499,2018,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",110,1332727
500,2019,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",110,1269091
501,2020,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",110,1450909
502,2021,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",120,1481667
503,1961,Cucumbers and gherkins,8881,109774
504,1962,Cucumbers and gherkins,9851,78395
505,1963,Cucumbers and gherkins,11220,146581
506,1964,Cucumbers and gherkins,9392,125707
507,1965,Cucumbers and gherkins,8522,101188
508,1966,Cucumbers and gherkins,8868,176025
509,1967,Cucumbers and gherkins,8758,161798
510,1968,Cucumbers and gherkins,7310,154424
511,1969,Cucumbers and gherkins,6285,164361
512,1970,Cucumbers and gherkins,6537,194722
513,1971,Cucumbers and gherkins,6177,190005
514,1972,Cucumbers and gherkins,6151,250839
515,1973,Cucumbers and gherkins,6079,244144
516,1974,Cucumbers and gherkins,5302,227727
517,1975,Cucumbers and gherkins,5363,289101
518,1976,Cucumbers and gherkins,5055,248406
519,1977,Cucumbers and gherkins,5209,277978
520,1978,Cucumbers and gherkins,4743,227350
521,1979,Cucumbers and gherkins,4710,296958
522,1980,Cucumbers and gherkins,4284,258200
523,1981,Cucumbers and gherkins,4458,315825
524,1982,Cucumbers and gherkins,4361,347968
525,1983,Cucumbers and gherkins,4064,359865
526,1984,Cucumbers and gherkins,3482,290307
527,1985,Cucumbers and gherkins,3625,354505
528,1986,Cucumbers and gherkins,3852,353165
529,1987,Cucumbers and gherkins,3540,337675
530,1988,Cucumbers and gherkins,4444,334388
531,1989,Cucumbers and gherkins,4601,340835
532,1990,Cucumbers and gherkins,3197,389615
533,1991,Cucumbers and gherkins,3132,395128
534,1992,Cucumbers and gherkins,3276,432201
535,1993,Cucumbers and gherkins,2972,398038
536,1994,Cucumbers and gherkins,3432,433581
537,1995,Cucumbers and gherkins,3831,448990
538,1996,Cucumbers and gherkins,3823,448266
539,1997,Cucumbers and gherkins,3841,461830
540,1998,Cucumbers and gherkins,3571,510865
541,1999,Cucumbers and gherkins,3535,549635
542,2000,Cucumbers and gherkins,3441,604606
543,2001,Cucumbers and gherkins,3442,610151
544,2002,Cucumbers and gherkins,3300,723591
545,2003,Cucumbers and gherkins,3569,650712
546,2004,Cucumbers and gherkins,2999,683238
547,2005,Cucumbers and gherkins,3269,671490
548,2006,Cucumbers and gherkins,3028,730634
549,2007,Cucumbers and gherkins,3224,758976
550,2008,Cucumbers and gherkins,3086,766769
551,2009,Cucumbers and gherkins,3015,873224
552,2010,Cucumbers and gherkins,3111,780514
553,2011,Cucumbers and gherkins,2931,851610
554,2012,Cucumbers and gherkins,2951,828014
555,2013,Cucumbers and gherkins,2759,809819
556,2014,Cucumbers and gherkins,2947,865490
557,2015,Cucumbers and gherkins,2731,873145
558,2016,Cucumbers and gherkins,2734,954334
559,2017,Cucumbers and gherkins,2345,1094623
560,2018,Cucumbers and gherkins,2410,1110332
561,2019,Cucumbers and gherkins,2300,1086609
562,2020,Cucumbers and gherkins,2150,1009163
563,2021,Cucumbers and gherkins,2280,1064912
564,1991,Currants,21270,59406
565,1992,Currants,19820,85772
566,1993,Currants,20000,83500
567,1994,Currants,20220,79130
568,1996,Currants,20720,71557
569,1997,Currants,17300,70094
570,1998,Currants,19400,70202
571,1999,Currants,20000,77700
572,2004,Currants,10000,60000
573,2005,Currants,2100,57143
574,2006,Currants,2099,53545
575,2007,Currants,2043,43113
576,2008,Currants,2025,52281
577,2009,Currants,2148,55154
578,2010,Currants,2140,55734
579,2011,Currants,2133,44946
580,2012,Currants,2292,46963
581,2013,Currants,2388,53007
582,2014,Currants,2459,52412
583,2015,Currants,2401,57768
584,2016,Currants,2333,59974
585,2017,Currants,2338,53336
586,2018,Currants,2250,71511
587,2019,Currants,2140,50327
588,2020,Currants,2120,56462
589,2021,Currants,2130,64648
590,1961,"Flax, processed but not spun",25701,3319
591,1962,"Flax, processed but not spun",26570,3627
592,1963,"Flax, processed but not spun",17752,3393
593,1964,"Flax, processed but not spun",12089,3382
594,1965,"Flax, processed but not spun",14445,4260
595,1966,"Flax, processed but not spun",16098,4121
596,1967,"Flax, processed but not spun",15063,4656
597,1968,"Flax, processed but not spun",10762,5460
598,1969,"Flax, processed but not spun",10446,5558
599,1970,"Flax, processed but not spun",10649,5361
600,1971,"Flax, processed but not spun",11166,4730
601,1972,"Flax, processed but not spun",8995,5574
602,1973,"Flax, processed but not spun",3847,11183
603,1974,"Flax, processed but not spun",2198,12247
604,1975,"Flax, processed but not spun",1951,9282
605,1976,"Flax, processed but not spun",1395,4301
606,1977,"Flax, processed but not spun",559,7156
607,1978,"Flax, processed but not spun",472,6356
608,1979,"Flax, processed but not spun",286,5559
609,1991,Gooseberries,13045,57305
610,1992,Gooseberries,10575,77877
611,1993,Gooseberries,11225,74833
612,1994,Gooseberries,11635,70821
613,1997,Gooseberries,11400,58022
614,1998,Gooseberries,12600,60079
615,1999,Gooseberries,12500,67840
616,2005,Gooseberries,12300,67591
617,2006,Gooseberries,12300,67591
618,2007,Gooseberries,12400,66660
619,2008,Gooseberries,12300,67052
620,2012,Gooseberries,12500,68693
621,2014,Gooseberries,13600,68160
622,1991,Grapes,99405,142850
623,1992,Grapes,100365,179246
624,1993,Grapes,102898,133336
625,1994,Grapes,103727,146539
626,1995,Grapes,103266,143997
627,1996,Grapes,102428,123306
628,1997,Grapes,102475,111910
629,1998,Grapes,101665,143865
630,1999,Grapes,101330,163722
631,2000,Grapes,101546,134028
632,2001,Grapes,99714,122952
633,2002,Grapes,98772,138501
634,2003,Grapes,98270,114989
635,2004,Grapes,98403,120322
636,2005,Grapes,98875,146549
637,2006,Grapes,99172,123493
638,2007,Grapes,99702,140479
639,2008,Grapes,99744,135497
640,2009,Grapes,100101,123375
641,2010,Grapes,99907,95339
642,2011,Grapes,99747,125317
643,2012,Grapes,99584,123213
644,2013,Grapes,99488,114587
645,2014,Grapes,100075,124407
646,2015,Grapes,99910,120011
647,2016,Grapes,100039,122509
648,2017,Grapes,100255,101166
649,2018,Grapes,100180,140108
650,2019,Grapes,100520,111918
651,2020,Grapes,100710,114144
652,2021,Grapes,100710,114335
653,1961,Hempseed,3461,1679
654,1962,Hempseed,4793,1784
655,1963,Hempseed,4372,2194
656,1964,Hempseed,4548,2208
657,1965,Hempseed,2903,2005
658,1966,Hempseed,2598,2360
659,1967,Hempseed,2048,1631
660,1968,Hempseed,1875,1776
661,1969,Hempseed,1462,1806
662,1970,Hempseed,1698,1443
663,1971,Hempseed,1548,1350
664,1972,Hempseed,474,1498
665,1961,Hop cones,9903,14012
666,1963,Hop cones,11166,18581
667,1967,Hop cones,13749,18435
668,1968,Hop cones,13984,17632
669,1969,Hop cones,13928,18242
670,1970,Hop cones,14926,19609
671,1971,Hop cones,17511,15341
672,1977,Hop cones,21313,18751
673,1978,Hop cones,19703,16598
674,1979,Hop cones,19419,17963
675,1990,Hop cones,22400,13583
676,1991,Hop cones,22478,16221
677,1992,Hop cones,22760,12803
678,1993,Hop cones,23016,18452
679,1994,Hop cones,21930,13112
680,1995,Hop cones,21804,15652
681,1996,Hop cones,21813,18114
682,1997,Hop cones,21383,15940
683,1998,Hop cones,19845,15581
684,1999,Hop cones,18297,15256
685,2000,Hop cones,18724,15649
686,2001,Hop cones,19039,16672
687,2002,Hop cones,18367,17571
688,2003,Hop cones,17605,14402
689,2004,Hop cones,17397,19085
690,2005,Hop cones,17231,19997
